left_ratio_x,right_ratio_x,left_ratio_y,right_ratio_y,label
0.040934995601418014,0.011913260522907074,0.1460638655723616,0.08662650300552925,screen
0.03370972998721388,0.0031195563447248614,0.1551473813747831,0.09427702749680084,screen
0.031225605376489746,0.009375484007127989,0.09443457095390798,0.05641643452791487,screen
0.03431559488017848,0.006860984245907528,0.11845333417479864,0.04978841969037818,screen
0.04175126953393475,0.011201192598069405,0.08621682318911447,0.05348666318329607,screen
0.04344491954323805,0.005354761521136224,0.1055027015489935,0.0686731622992844,screen
0.03738574312966849,0.022219513200186808,0.07878835306913706,0.013682492677812963,screen
0.0338023160561868,0.014846771794108897,0.10710797023673135,0.00736498129514388,screen
0.029206010868602555,0.01409792698599923,0.11882225727849742,0.01977985718333399,screen
0.03429118963183942,0.018127289044529364,0.0812163834616896,0.008674945331272674,screen
0.04014584279650876,0.015251414857737343,0.08844599487630721,0.024193157087943586,screen
0.03997962696541883,0.008610084022252716,0.0806166177975953,0.03724248938629563,screen
0.038531210121043935,0.011961827622576197,0.0953717133473764,0.01966020498116702,screen
0.035264000572961675,0.026746536267318665,0.09291264899417884,0.03249793123998155,screen
0.047581747212176576,0.04625014996806086,0.09850630087823976,0.024793155080213902,screen
0.03858613172925692,0.03523965699839431,0.07989463798315381,0.02304587510665529,screen
0.04375531323380067,0.03322408114013632,0.07659026051735249,0.012461856919603526,screen
0.04394137713295815,0.02876661231010966,0.09067388931560011,0.03839788040264421,screen
0.04635877488812802,0.028154218904987236,0.10688405478391667,0.017157518626792625,screen
0.05399850004166551,0.014091794547917768,0.08417983377809449,0.02577941714921143,screen
0.050306502263336564,0.012671931996921121,0.0984683686002863,0.029716280749628798,screen
0.04791333052525324,0.01988509049123815,0.12081873658040457,0.026498156808107198,screen
0.04739490019364063,0.03310233922433749,0.12010034439357685,0.03799271021121494,screen
0.0385393180804763,0.03017070103689556,0.10056775866432863,0.02799109809279911,screen
0.04277996101511135,0.04058074429191683,0.08923563247807431,0.032324676753232466,screen
0.04610086017631466,0.02890790482721809,0.102873884580739,0.05468975709955662,screen
0.048004145484337714,0.02656199777475584,0.09082906936617682,0.02864380294432108,screen
0.05230950725010904,0.0038649974629325107,0.11048520176177982,0.05929780081067308,screen
0.04183070820174984,0.029954573916230704,0.12039993672258124,0.05076490655910056,screen
0.03899483652115899,0.0280767335564882,0.11562108381118748,0.04856050545435898,screen
0.033233621202817476,0.025480433114502515,0.11673976359659562,0.06759164654431807,screen
0.03631077151937251,0.023278141230565992,0.1265715646500525,0.06648761844577629,screen
0.02773486356716243,0.030975336284663646,0.14493435369076438,0.05879007612722787,screen
